Franchise,Tier,Routine Timing,Step Number,Product,Primary Age Range,Sensitive Swap
Daily Skin Health,Essential,AM,1,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Essential,AM,2,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Essential,AM,3,Dynamic Skin Recovery SPF50 Moisturizer,All (fallback for any age),
Daily Skin Health,Essential,PM,1,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Essential,PM,2,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Essential,PM,3,Skin Smoothing Cream,All (fallback for any age),stabilizing repair cream
Daily Skin Health,Enhanced,AM,1,Precleanse Cleansing Oil,All (fallback for any age),
Daily Skin Health,Enhanced,AM,2,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Enhanced,AM,3,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Enhanced,AM,4,Circular Hydration Serum,All (fallback for any age),
Daily Skin Health,Enhanced,AM,5,Dynamic Skin Recovery SPF50 Moisturizer,All (fallback for any age),
Daily Skin Health,Enhanced,PM,1,Precleanse Cleansing Oil,All (fallback for any age),
Daily Skin Health,Enhanced,PM,2,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Enhanced,PM,3,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Enhanced,PM,4,Circular Hydration Serum,All (fallback for any age),
Daily Skin Health,Enhanced,PM,5,Skin Smoothing Cream,All (fallback for any age),stabilizing repair cream
Daily Skin Health,Comprehensive,AM,1,Precleanse Cleansing Oil,All (fallback for any age),
Daily Skin Health,Comprehensive,AM,2,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Comprehensive,AM,3,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Comprehensive,AM,4,Multi-Active Toner,All (fallback for any age),UltraCalming Mist
Daily Skin Health,Comprehensive,AM,5,Circular Hydration Serum,All (fallback for any age),
Daily Skin Health,Comprehensive,AM,6,Stress Positive Eye Lift,All (fallback for any age),
Daily Skin Health,Comprehensive,AM,7,Dynamic Skin Recovery SPF50 Moisturizer,All (fallback for any age),
Daily Skin Health,Comprehensive,PM,1,Precleanse Cleansing Oil,All (fallback for any age),
Daily Skin Health,Comprehensive,PM,2,Special Cleansing Gel,All (fallback for any age),UltraCalming Cleanser
Daily Skin Health,Comprehensive,PM,3,Daily Microfoliant,All (fallback for any age),Daily Milkfoliant
Daily Skin Health,Comprehensive,PM,4,Multi-Active Toner,All (fallback for any age),UltraCalming Mist
Daily Skin Health,Comprehensive,PM,5,Circular Hydration Serum,All (fallback for any age),
Daily Skin Health,Comprehensive,PM,6,Stress Positive Eye Lift,All (fallback for any age),
Daily Skin Health,Comprehensive,PM,7,Skin Smoothing Cream,All (fallback for any age),stabilizing repair cream
Active Clearing,Essential,AM,1,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Essential,AM,2,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Essential,AM,3,Porescreen Mineral Sunscreen SPF40,19–24,
Active Clearing,Essential,PM,1,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Essential,PM,2,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Essential,PM,3,Acne Biotic Moisturizer,19–24,stabilizing repair cream
Active Clearing,Enhanced,AM,1,Precleanse Cleansing Oil,19–24,
Active Clearing,Enhanced,AM,2,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Enhanced,AM,3,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Enhanced,AM,4,Age Bright Clearing Serum,19–24,
Active Clearing,Enhanced,AM,5,Porescreen Mineral Sunscreen SPF40,19–24,
Active Clearing,Enhanced,PM,1,Precleanse Cleansing Oil,19–24,
Active Clearing,Enhanced,PM,2,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Enhanced,PM,3,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Enhanced,PM,4,Age Bright Clearing Serum,19–24,
Active Clearing,Enhanced,PM,5,Acne Biotic Moisturizer,19–24,stabilizing repair cream
Active Clearing,Comprehensive,AM,1,Precleanse Cleansing Oil,19–24,
Active Clearing,Comprehensive,AM,2,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Comprehensive,AM,3,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Comprehensive,AM,4,Multi-Active Toner,19–24,UltraCalming Mist
Active Clearing,Comprehensive,AM,5,Age Bright Clearing Serum,19–24,
Active Clearing,Comprehensive,AM,6,Stress Positive Eye Lift,19–24,
Active Clearing,Comprehensive,AM,7,Porescreen Mineral Sunscreen SPF40,19–24,
Active Clearing,Comprehensive,PM,1,Precleanse Cleansing Oil,19–24,
Active Clearing,Comprehensive,PM,2,Acne Clearing Skin Wash,19–24,UltraCalming Cleanser
Active Clearing,Comprehensive,PM,3,Daily Microfoliant,19–24,Daily Milkfoliant
Active Clearing,Comprehensive,PM,4,Multi-Active Toner,19–24,UltraCalming Mist
Active Clearing,Comprehensive,PM,5,Age Bright Clearing Serum,19–24,
Active Clearing,Comprehensive,PM,6,Stress Positive Eye Lift,19–24,
Active Clearing,Comprehensive,PM,7,Acne Biotic Moisturizer,19–24,stabilizing repair cream
BioLumin-C,Essential,AM,1,Special Cleansing Gel,25–34,UltraCalming Cleanser
BioLumin-C,Essential,AM,2,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Essential,AM,3,BioLumin-C Heat Aging Protector SPF50,25–34,
BioLumin-C,Essential,PM,1,Special Cleansing Gel,25–34,UltraCalming Cleanser
BioLumin-C,Essential,PM,2,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Essential,PM,3,BioLumin-C Vitamin C Gel Moisturizer,25–34,stabilizing repair cream
BioLumin-C,Enhanced,AM,1,Precleanse Cleansing Oil,25–34,
BioLumin-C,Enhanced,AM,2,Daily Glycolic Cleanser,25–34,UltraCalming Cleanser
BioLumin-C,Enhanced,AM,3,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Enhanced,AM,4,BioLumin-C Vitamin C Serum,25–34,
BioLumin-C,Enhanced,AM,5,BioLumin-C Heat Aging Protector SPF50,25–34,
BioLumin-C,Enhanced,PM,1,Precleanse Cleansing Oil,25–34,
BioLumin-C,Enhanced,PM,2,Special Cleansing Gel,25–34,UltraCalming Cleanser
BioLumin-C,Enhanced,PM,3,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Enhanced,PM,4,BioLumin-C Night Restore,25–34,
BioLumin-C,Enhanced,PM,5,BioLumin-C Vitamin C Gel Moisturizer,25–34,stabilizing repair cream
BioLumin-C,Comprehensive,AM,1,Precleanse Cleansing Oil,25–34,
BioLumin-C,Comprehensive,AM,2,Daily Glycolic Cleanser,25–34,UltraCalming Cleanser
BioLumin-C,Comprehensive,AM,3,Daily Microfoliant,25–34,Daily Milkfoliant
BioLumin-C,Comprehensive,AM,4,Antioxidant HydraMist,25–34,UltraCalming Mist
BioLumin-C,Comprehensive,AM,5,BioLumin-C Vitamin C Serum,25–34,
BioLumin-C,Comprehensive,AM,6,BioLumin-C Vitamin C Eye Serum,25–34,
